Player;stats_Nation;stats_Pos;stats_Squad;stats_Comp;stats_Age;stats_Born;stats_MP;stats_Starts;stats_Min;stats_90s;stats_Gls;stats_Ast;stats_G+A;stats_G-PK;stats_PK;stats_PKatt;stats_CrdY;stats_CrdR;stats_Gls_1;stats_Ast_2;stats_G+A_3;stats_G-PK_4;stats_G+A-PK
Brayan Palmezano;ve VEN;MF,FW;Huachipato;Primera Division Chile;22;2000;25;19;1456;162;4;3;7;4;0;0;4;0;25;19;43;25;43
Isaac Díaz;cl CHI;FW,MF;Deportes Copiapó;Primera Division Chile;32;1990;23;19;1445;161;6;2;8;4;2;2;8;2;37;12;50;25;37
Gonzalo Ríos;ar ARG;MF,FW;Audax Italiano;Primera Division Chile;24;1999;24;18;1424;158;8;2;10;8;0;0;2;0;51;13;63;51;63
Matias Cavalleri;cl CHI;FW,MF;La Calera;Primera Division Chile;24;1998;20;17;1423;158;4;3;7;4;0;0;0;0;25;19;44;25;44
Cristian Palacios;uy URU;FW;U de Chile;Primera Division Chile;32;1990;24;15;1399;155;9;2;11;9;0;0;1;0;58;13;71;58;71
Felipe Campos;cl CHI;DF;Everton;Primera Division Chile;29;1993;19;14;1392;155;1;1;2;1;0;0;2;0;6;6;13;6;13
Marcos Bolados;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;26;1996;26;15;1378;153;3;6;9;3;0;0;2;0;20;39;59;20;59
Antonio Ceza;cl CHI;DF;Palestino;Primera Division Chile;20;2002;18;15;1378;153;1;0;1;1;0;0;2;0;7;0;7;7;7
Omar Merlo;ar ARG;DF;Curico Unido;Primera Division Chile;35;1987;20;14;1376;153;1;0;1;1;0;0;5;0;7;0;7;7;7
Matías Marín;cl CHI;MF;O'Higgins;Primera Division Chile;23;1999;16;16;1363;151;6;3;9;6;0;0;2;0;40;20;59;40;59
Juan Fuentes;cl CHI;DF,MF;O'Higgins;Primera Division Chile;27;1995;19;16;1355;151;0;0;0;0;0;0;4;1;0;0;0;0;0
Matías Poblete;cl CHI;DF,MF;Deportes Magallanes;Primera Division Chile;0;0;19;19;1347;150;0;0;0;0;0;0;2;0;0;0;0;0;0
Federico Castro;ar ARG;FW,MF;Curico Unido;Primera Division Chile;30;1992;21;14;1342;149;5;2;7;1;4;5;5;0;34;13;47;7;20
Luis Montes;mx MEX;MF;Everton;Primera Division Chile;36;1986;22;16;1332;148;2;5;7;2;0;0;7;2;14;34;47;14;47
Julian Alfaro;cl CHI;MF,FW;Deportes Magallanes;Primera Division Chile;21;2001;27;13;1325;147;2;0;2;2;0;0;5;1;14;0;14;14;14
Brayan Véjar;cl CHI;DF;Palestino;Primera Division Chile;27;1995;19;15;1319;147;0;3;3;0;0;0;1;0;0;20;20;0;20
Raimundo Rebolledo;cl CHI;DF,MF;Ñublense;Primera Division Chile;25;1997;21;14;1302;145;0;0;0;0;0;0;5;2;0;0;0;0;0
Sebastián Lomonaco;ar ARG;FW,MF;La Calera;Primera Division Chile;24;1998;27;13;1298;144;4;3;7;3;1;1;3;0;28;21;49;21;42
Agustín Bouzat;ar ARG;MF,DF;Colo-Colo;Primera Division Chile;28;1994;24;12;1296;144;0;1;1;0;0;0;3;0;0;7;7;0;7
Alan Saldivia;uy URU;DF;Colo-Colo;Primera Division Chile;20;2002;17;14;1294;144;0;0;0;0;0;0;1;0;0;0;0;0;0
Antonio Castillo;cl CHI;DF;Huachipato;Primera Division Chile;24;1998;24;13;1293;144;1;3;4;1;0;0;1;0;7;21;28;7;28
Sebastián Silva;cl CHI;DF;Cobresal;Primera Division Chile;31;1991;16;14;1265;141;0;0;0;0;0;0;3;0;0;0;0;0;0
Byron Nieto;cl CHI;DF,MF;Univ Católica;Primera Division Chile;23;1999;24;14;1253;139;0;1;1;0;0;0;4;0;0;7;7;0;7
Nicolás Baeza;cl CHI;DF;Huachipato;Primera Division Chile;25;1997;21;15;1242;138;0;2;2;0;0;0;6;0;0;14;14;0;14
Moisés González;cl CHI;DF;O'Higgins;Primera Division Chile;22;2000;16;14;1235;137;1;0;1;0;1;2;5;0;7;0;7;0;0
Nelson Sepúlveda;cl CHI;MF;Cobresal;Primera Division Chile;31;1992;24;13;1205;134;1;2;3;1;0;0;6;0;7;15;22;7;22
Yonathan Andía;cl CHI;DF,MF;U de Chile;Primera Division Chile;30;1992;27;12;1194;133;0;0;0;0;0;0;5;0;0;0;0;0;0
Gabriel Hachen;ar ARG;MF,FW;Audax Italiano;Primera Division Chile;32;1990;24;12;1183;131;2;5;7;2;0;0;3;0;15;38;53;15;53
Jason Flores;cl CHI;MF,FW;Curico Unido;Primera Division Chile;25;1997;24;13;1152;128;3;0;3;3;0;0;1;0;23;0;23;23;23
Ismael Sosa;ar ARG;FW,MF;Ñublense;Primera Division Chile;36;1987;15;14;1139;127;3;1;4;3;0;0;2;0;24;8;32;24;32
Gonzalo Tapia;cl CHI;FW,MF;Univ Católica;Primera Division Chile;20;2002;25;9;1139;127;4;3;7;4;0;0;3;0;32;24;55;32;55
Arnaldo Castillo;py PAR;FW;O'Higgins;Primera Division Chile;25;1997;24;10;1132;126;4;3;7;4;0;0;6;0;32;24;56;32;56
Felipe Loyola;cl CHI;DF,MF;Huachipato;Primera Division Chile;22;2000;16;12;1131;126;4;1;5;4;0;0;6;0;32;8;40;32;40
